@RELATION teste

@ATTRIBUTE C0	REAL
@ATTRIBUTE C1	REAL
@ATTRIBUTE C2	REAL
@ATTRIBUTE C3	REAL
@ATTRIBUTE C4	REAL
@ATTRIBUTE C5	REAL
@ATTRIBUTE C6	REAL
@ATTRIBUTE C7	REAL
@ATTRIBUTE C8	REAL
@ATTRIBUTE C9	REAL
@ATTRIBUTE C10	REAL
@ATTRIBUTE C11	REAL
@ATTRIBUTE C12	REAL
@ATTRIBUTE C13	REAL
@ATTRIBUTE C14	REAL
@ATTRIBUTE C15	REAL
@ATTRIBUTE C16	REAL
@ATTRIBUTE C17	REAL
@ATTRIBUTE C18	REAL
@ATTRIBUTE C19	REAL
@ATTRIBUTE C20	REAL
@ATTRIBUTE C21	REAL
@ATTRIBUTE C22	REAL
@ATTRIBUTE C23	REAL
@ATTRIBUTE C24	REAL
@ATTRIBUTE C25	REAL
@ATTRIBUTE C26	REAL
@ATTRIBUTE C27	REAL
@ATTRIBUTE C28	REAL
@ATTRIBUTE C29	REAL
@ATTRIBUTE C30	REAL
@ATTRIBUTE C31	REAL
@ATTRIBUTE C32	REAL
@ATTRIBUTE C33	REAL
@ATTRIBUTE classe {388,185,344,111,612,041,211}


@DATA
0.1689, 0, 1.0056, 0, 0, 0, 0, 0, 0, 0.0463, 0, 0.0356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2995, 0, 0.0733, 0.2368, 0, 0, 0.355,041
0, 0, 0.5667, 0, 0, 0.0279, 0.0908, 0.1125, 0, 0.1695, 0, 0.1333, 0, 0, 0, 0, 0, 0, 0, 0, 0.0274, 0, 0.298, 0.0311, 0.0681, 0.665, 0, 0, 0.8367, 0.0671, 0, 0.1756, 0.105, 0,041
0, 0, 1.2144, 0.2145, 0, 0, 0, 0, 0, 0, 0, 0.0441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0605, 0.5778, 0.0936, 0.355,041
0, 0, 0.3122, 0, 0, 0, 0.1185, 0, 0, 0.0932, 0, 0.1763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.39, 0, 0, 0, 0, 0, 0, 0.0198, 0, 1.87, 0.1557, 0,041
0, 0, 0.1744, 0, 0, 0.0966, 0.0908, 0, 0, 0.1711, 0, 0.0822, 0, 0, 0, 0.1061, 0, 0, 0, 0, 0, 0, 0, 0.0958, 0, 0, 0, 0.1114, 0, 0, 0, 0, 0.0757, 1.065,041
0.0811, 0, 1.0211, 0, 0, 0, 0.1185, 0, 0, 0, 0, 0.0893, 0, 0, 0, 0.0656, 0, 0, 0, 0, 0.0548, 0, 0.174, 0, 0, 0, 0, 0, 0, 0.04, 0, 1.8222, 0.3329, 0,041
0.0456, 0, 2.0067, 0, 0, 0.0157, 0.1531, 0, 0, 0, 0, 0, 0, 0, 0, 0.2183, 0, 0, 0, 0.815, 0, 0, 0, 0, 0, 0, 0, 0.0559, 0, 0, 0.0605, 0, 0.2114, 0.71,041
0, 0, 1.6444, 0, 0, 0, 0, 0.7013, 0, 0, 0, 0.2204, 0, 0, 0, 0.085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.4533, 0.1643, 0.355,041
0.2589, 0, 2.9511, 0.065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1989, 0.0767, 0, 0, 0, 0.4075, 0, 0, 0, 0.1303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.355,041
0.0456, 0, 1.2489, 0, 0, 0.1182, 0.0623, 0, 0, 0.0332, 0, 0, 0, 0, 0, 0.1822, 0, 0, 0, 0.4075, 0, 0, 0, 0, 0, 0, 1.11, 0, 0, 0, 0, 0, 0.0821, 0.355,041
0.0811, 0, 1.3333, 0, 0, 0, 0, 0, 0, 0.0595, 0, 0, 0, 0, 0, 0.0406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3113, 0.0822, 0, 2.5478, 0.0307, 0,041
0, 0, 2.39, 0, 0, 0, 0.39, 0, 0, 0, 0, 0, 0, 0, 0, 0.17, 0, 0, 0, 0, 0, 0.4625, 0, 0, 0, 0, 0, 0.3945, 0, 0, 0, 0, 0, 0,041
0, 0.185, 0.6644, 0, 0, 0, 0.1569, 0, 0, 0.0463, 0, 0.2067, 0, 0, 0, 0, 0, 0, 0, 0, 0.0596, 0.695, 0, 0.0831, 0, 0, 0, 0.1155, 0, 0.0186, 0, 0, 0.0614, 0,041
0.2333, 0, 0.1744, 0, 0, 0.0267, 0.0908, 0, 0, 0.1853, 0, 0.1763, 0, 0, 0, 0.1261, 0, 0, 0, 0.815, 0.0909, 0, 0.174, 0.0314, 0, 0, 1.11, 0.0559, 0, 0.0525, 0.5537, 0, 0, 1.065,041
0.0456, 0, 2.3922, 0, 0, 0, 0, 0, 0, 0.0595, 0, 0.3085, 0, 0, 0, 0.0767, 0, 0, 0, 0.4075, 0, 0.305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5789, 0, 1.065,041
0.0811, 0, 1.7689, 0, 0, 0, 0, 0.5263, 0, 0.0463, 0, 0.0756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1211, 1.6122, 0.0307, 0.71,041
0, 0, 0.5833, 0.0735, 0, 0.16, 0, 0.475, 1.2688, 0.1116, 0, 0.0356, 0, 0, 0, 0.4128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11, 1.1527, 0, 0, 0.1437, 0, 0.0614, 0,041
0, 0.185, 3.2456, 0.0735, 0, 0, 0, 0, 0, 0.1832, 0, 0.0441, 0, 0, 0, 0.0822, 0, 0, 0, 0, 0, 0.305, 0, 0.1303, 0, 0, 0, 0.0377, 0, 0, 0, 0.1756, 0, 0.71,041
0.0456, 0, 3.2611, 0, 0, 0, 0.4369, 0, 0, 0.0332, 0, 0.1256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0314, 0, 0, 0, 0, 0, 0, 0, 0.1756, 0, 0.355,041
0, 0, 0.3789, 0, 0, 0, 0.1185, 0, 0, 0.0868, 0, 0.0544, 0.0969, 0, 0, 0, 0, 0, 0, 0, 0, 0.2325, 0, 0.0594, 0, 0, 1.11, 0, 0, 0.0159, 0, 0, 0.1229, 0,041
0.0778, 0, 0.1744, 0, 0, 0.0312, 0, 0, 0, 0.0332, 0, 0.3122, 0.0485, 0, 1.9567, 0, 0, 1.9, 0, 0, 0, 0, 0, 0.0675, 0, 0, 0, 0.1455, 0, 0.0731, 0, 0, 0.275, 0,041
0, 0, 1.7144, 0, 0, 0.0319, 0, 0, 0, 0.1042, 0, 0.1878, 0, 0, 0.3456, 0, 0, 0, 0, 0, 0.0274, 0, 0, 0, 0, 0, 0, 0.1805, 0, 0.1486, 0.1211, 0, 0, 1.415,041
0.0911, 0, 3.7322, 0.1465, 0, 0.0252, 0, 0, 0, 0.0332, 0, 0.1978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2325, 0, 0, 0, 0, 0, 0.1995, 0, 0.0535, 0, 0, 0.1757, 0.355,041
0, 0, 2.5789, 0, 0, 0, 0.3223, 0, 0, 0, 0, 0.0504, 0, 0, 0, 0.1217, 0, 0, 0, 0.4075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0629, 0,041
0.0778, 0, 0.1744, 0, 0, 0, 0, 0, 0, 0.0868, 0, 0, 0, 0, 0, 0.1383, 0, 0, 0, 0, 0.0596, 0, 0.298, 0, 0, 0, 0, 0, 0, 0.0724, 0.0721, 0, 0, 0,041
0.1367, 0, 2.21, 0.1465, 0, 0, 0.0785, 0.2263, 0, 0.0332, 0, 0.1322, 0, 0, 0, 0.385, 0, 0, 0, 0, 0, 0, 0, 0, 0.1433, 0, 0, 0, 0, 0, 0.0605, 0.1756, 0.0614, 0,041
0.0778, 0, 0.3622, 0, 0, 0.0199, 0, 0, 0, 0, 0, 0.0441, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0.0797, 0, 0, 0, 0.0605, 0, 0.0159, 0.2374, 0, 0.1229, 0,041
0, 0.195, 0, 0.065, 0, 0.0827, 0, 0, 0, 0, 0, 0.0544, 0.0635, 0, 0, 0.2261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0159, 0, 0, 0.1464, 0.355,041
0.2267, 0, 2.48, 0, 0, 0.0284, 0, 0, 0, 0, 0, 0, 0.0485, 0, 0.2378, 0.0978, 0, 0, 0, 0, 0, 0, 0, 0.0314, 0, 0, 4.43, 0.0645, 0, 0, 0, 0, 0.0936, 0,041
0, 0, 0.2778, 0, 0, 0.0306, 0, 0, 0, 0.0458, 0, 0, 0.0485, 0, 0, 0.06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.11, 0, 0, 0, 0, 0, 0, 0,041
0.1811, 0, 0.3478, 0, 0, 0, 0, 0, 0, 0.2863, 0, 0, 0, 0, 0, 0.1256, 0, 0, 0, 0, 0, 0, 1.86, 0, 0, 0, 2.21, 0.1114, 0, 0.0925, 0, 0, 0, 0,041
0, 0, 0.5244, 0, 0, 0, 0.3746, 0, 0, 0.1326, 0, 0.1374, 0, 0, 0.1733, 0.2028, 0, 0, 0, 0, 0.1096, 0.77, 0.174, 0, 0, 0, 0, 0.2927, 0, 0.0827, 0.0605, 0, 0.0307, 0.71,041
0, 0, 1.8267, 0, 0, 0, 0.2438, 0.1688, 0, 0.0332, 0, 0, 0, 0, 0, 0.1378, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0727, 0, 0.0306, 0, 0, 0, 0,041
0, 0, 0.1044, 0, 0, 0, 0, 0, 0, 0, 0, 0.0356, 0, 0, 0, 0.2083, 0, 0, 0, 0, 0.0596, 0, 0, 0.0708, 0, 0, 0, 0.0559, 0, 0.02, 0, 0, 0.0521, 0,041
0, 0.185, 0.3844, 0, 0, 0, 0, 0, 0, 0, 0, 0.2115, 0, 0, 0, 0.0817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0186, 0, 0, 0.0307, 0,041
